"Link Title","Message","Time Posted (PST)","# Likes","# Shares","Has Question?","Update Type","Link URL","Post URL"
"Should Jodi Arias die?","The woman who stabbed her ex-boyfriend 29 times, slit his neck from ear to ear and shot him in the face, has asked the jury to spare her life. Would you vote life or death for Jodi Arias? http://on.cnn.com/13KQ0Nd","2013-05-22 06:30:01",978,265,"Yes","link","http://on.cnn.com/13KQ0Nd","http://www.facebook.com/5550296508/posts/10151661866026509"
"‘She was the best kid anybody could have’","The first name released of the 24 people killed by Monday's tornado was Janae Hornsby, a 9-year-old girl, whose father called “a ball of energy, a ball of love.” http://on.cnn.com/13KPlvd","2013-05-22 05:30:48",774,66,"No","link","http://on.cnn.com/13KPlvd","http://www.facebook.com/5550296508/posts/10151661817416509"
"Teacher impaled as she protects class","A teacher describes on Piers Morgan Live, the leg injury she sustained while protecting students at Briarwood Elementary in Moore, Oklahoma. http://on.cnn.com/13KRxD1","2013-05-22 05:00:32",626,59,"No","video","http://on.cnn.com/13KRxD1","http://www.facebook.com/5550296508/posts/10151661778051509"
"Search is winding down, but recovery is just starting","At least 24 people -- including nine children -- were killed when a massive tornado struck an area outside Oklahoma City on Monday. Some loved ones are still missing, but the mayor of Moore doesn't expect the death toll to climb any higher. http://on.cnn.com/13KNZR7","2013-05-22 04:35:30",340,29,"No","link","http://on.cnn.com/13KNZR7","http://www.facebook.com/5550296508/posts/10151661747521509"
"[Photo]","The day after a powerful tornado struck an area outside Oklahoma City, survivors share harrowing stories: http://on.cnn.com/10Sq4Lt    Photo: A teacher hugs a student at Briarwood Elementary School.","2013-05-21 13:24:00",8607,1042,"No","photo","http://www.facebook.com/photo.php?fbid=10151660879686509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151660881221509"
"[Photo]","From terrified children huddled together in hallways to teachers diving onto groups of kids to protect them from debris, Monday's tornado brought much horror, but also stories of incredible heroism. Read what happened inside a ravaged elementary school in Moore, Oklahoma: http://on.cnn.com/16MreiQ","2013-05-21 12:20:23",2183,437,"No","photo","http://www.facebook.com/photo.php?fbid=10151660768386509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151660776521509"
"[Photo]","Renee Meyers' house was destroyed by the tornado in Oklahoma. CNN's John King captured this photo of Meyers, who found some old jewelry in the rubble, but not her beloved dog, ""Boo"". View more photos from King and Anderson Cooper, who are both sharing powerful images of the catastrophic damage: http://on.cnn.com/16MlW73","2013-05-21 11:20:06",1843,397,"No","photo","http://www.facebook.com/photo.php?fbid=10151660618621509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151660669016509"
"[Photo]","If you'd like to help the victims of the disaster, please visit our ""Impact Your World"" page, which has been updated with new information. There are now ways to: give blood, help with food and shelter needs, and help care for injured or displaced pets. http://on.cnn.com/16MjJsk","2013-05-21 10:30:05",4877,1094,"No","photo","http://www.facebook.com/photo.php?fbid=10151660573501509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151660580736509"
"[Photo]","In a fraction of a second, Photographer Paul Hellstern captured the courage and selflessness that overcame school faculty members in the moments following the Monday devastation. He says he was amazed by the teachers' response. http://on.cnn.com/16MdhS2    Photo: Teachers take children to safety after a tornado destroyed Briarwood Elementary School.","2013-05-21 09:50:28",12145,2760,"No","photo","http://www.facebook.com/photo.php?fbid=10151660509181509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151660511711509"
"Tornado survivor finds dog buried under rubble","A woman who survived the devastating tornado in Oklahoma finds her dog buried under the rubble during an interview with CBS. ""God answered both my prayers."" http://on.cnn.com/16Mc2Cq","2013-05-21 09:02:08",5481,1346,"No","video","http://on.cnn.com/16Mc2Cq","http://www.facebook.com/5550296508/posts/10151660430461509"
"Obama: We all stand with Oklahoma","While the total magnitude of the storm's damage is unknown, the president pledged the country's resources as the community seeks to rebuild. ""The people of Moore, [Oklahoma] should know that their country will remain on the ground, there for them, beside them, as long as it takes,"" he said. http://on.cnn.com/13InRX1","2013-05-21 08:09:21",1543,100,"No","link","http://on.cnn.com/13InRX1","http://www.facebook.com/5550296508/posts/10151660340766509"
"7 mobile tools to help you survive tornado season","A huge twister that pummeled Moore, Oklahoma, reminds us that tornado season is upon us once again. Here are some digital tools that offer timely warnings about impeding storms and tornadoes: http://on.cnn.com/10RTx8e","2013-05-21 07:02:54",197,54,"No","link","http://on.cnn.com/10RTx8e","http://www.facebook.com/5550296508/posts/10151660221531509"
"The morning after: devastation in Oklahoma ","A day after the disaster, Oklahomans are trying very hard to be there for each other. Many are just beginning to grapple with the heartbreaking devastation and loss: http://on.cnn.com/16LPpOv","2013-05-21 06:13:24",358,48,"No","link","http://on.cnn.com/16LPpOv","http://www.facebook.com/5550296508/posts/10151660149596509"
"Tearful reunions at elementary school ","Out of the devastating disaster came some hope when parents were reunited with their children at Briarwood Elementary, moments after a massive tornado ripped through Moore, Oklahoma: http://on.cnn.com/10RLuZ3","2013-05-21 05:33:51",2225,712,"No","video","http://on.cnn.com/10RLuZ3","http://www.facebook.com/5550296508/posts/10151660082261509"
"Bracing for Round 3: 53 million under severe weather threat","The system that spawned Monday's massive tornado in Oklahoma, in addition to several twisters Sunday, isn't over yet. 53 million Americans could face severe weather today: http://on.cnn.com/10RKAMb","2013-05-21 05:04:15",373,146,"No","link","http://on.cnn.com/10RKAMb","http://www.facebook.com/5550296508/posts/10151660045231509"
"Helping with disaster in the heartland","It is clear the days ahead are grave for the people of Oklahoma and the need for help will be immense. If you'd like to help the victims of the disaster, please visit our page titled, ""Impact Your World."" There are several organizations already mobilizing on the ground, and you can help as well through these groups: http://on.cnn.com/10RHms9  The page will be updated as we learn more about the specific needs of each community.","2013-05-21 04:30:00",519,137,"No","link","http://on.cnn.com/10RHms9","http://www.facebook.com/5550296508/posts/10151659987611509"
"51 killed in mammoth Oklahoma tornado; 40 more bodies expected","The vicious tornado that ripped across central Oklahoma on Monday killed at least 51 people -- with about 40 more bodies expected to arrive at the Oklahoma state medical examiner's office. Roughly half of the expected bodies are children. http://on.cnn.com/10RGmnG","2013-05-21 04:05:17",699,278,"No","link","http://on.cnn.com/10RGmnG","http://www.facebook.com/5550296508/posts/10151659968246509"
"Tornado leaves path of destruction - CNN.com Video","A look at the early moments and the immediate aftermath of the devastating Oklahoma City tornado. Features sound from storm chasers, reporters, and residents of Oklahoma caught up in the nightmare.","2013-05-20 19:36:51",966,450,"No","video","http://www.cnn.com/video/data/2.0/video/us/2013/05/21/natpkg-ok-tornado-destruction.cnn.html","http://www.facebook.com/5550296508/posts/10151659465911509"
"[Photo]","At least 20 of the 51 killed in Oklahoma are children, the state medical examiner says. ""We're just right now trying to handle the situation as best we can.""  Story --> http://bit.ly/YVDJE2","2013-05-20 19:05:06",3252,1586,"No","photo","http://www.facebook.com/photo.php?fbid=10151659419306509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151659419356509"
"Vine videos show Oklahoma tornado devastation","Oklahoma resident David Massey posted several powerful videos of Oklahoma tornado damage to the video sharing app Vine.  In an interview with CNN's Wolf Blitzer, he describes the catastrophic tornado damage and rescue efforts underway. http://on.cnn.com/10JXVcp","2013-05-20 17:50:01",374,195,"No","link","http://on.cnn.com/10JXVcp","http://www.facebook.com/5550296508/posts/10151659305081509"
"7 school children among the dead","""Our worst fears are becoming realized,"" said Bill Bunting with NOAA.  The state medical examiner says at least 51 people were killed in the tornado that swept through Oklahoma on Monday. Rescue workers are racing against time looking for survivors.","2013-05-20 17:19:11",858,501,"No","link","http://bit.ly/19X5VYH","http://www.facebook.com/5550296508/posts/10151659281961509"
"CNN Live Event -- Streaming Now","The preliminary death toll has just been confirmed by CNN and the Oklahoma medical examiner to be 37.  This link should provide a live feed of CNN's air. A press conference is expected shortly.","2013-05-20 16:30:18",281,137,"No","link","http://www.cnn.com/video/data/2.0/video/cvplive/cvpstream3.html","http://www.facebook.com/5550296508/posts/10151659206156509"
"Impact Your World","If you'd like to make a donation to Oklahoma tornado victims, please visit our page titled, ""Impact Your World."" It contains links to the Oklahoma Red Cross and our latest stories. It will be updated as we learn more about the specific needs of each community.","2013-05-20 15:42:24",656,173,"No","link","http://bit.ly/11SXBeQ","http://www.facebook.com/5550296508/posts/10151659141091509"
"Tornado hits Oklahoma school - CNN.com Video","Two elementary schools were hit by the Oklahoma tornado in Moore. All students from Briarwood Elementary have been accounted for, authorities say. Rescuers are still pulling people from the rubble of Plaza Towers Elementary. Here is video from KFOR from Plaza Towers.","2013-05-20 15:19:42",1520,834,"No","video","http://www.cnn.com/video/data/2.0/video/bestoftv/2013/05/20/lead-school-hit-in-tornado.cnn.html","http://www.facebook.com/5550296508/posts/10151659106111509"
"Tornado levels homes, a school, in Oklahoma City suburb","“People are trapped, you are going to see the devastation for days to come; we’ve got people including children who are trapped in some buildings, said Betsy Randolph, spokeswoman for Oklahoma Highway Patrol    Randolph added “Send your prayers heavenward because there are people fighting for their lives.”","2013-05-20 14:11:15",1677,1050,"No","link","http://bit.ly/19X5VYH","http://www.facebook.com/5550296508/posts/10151658997021509"
"Apparently This Matters: Smell-O-Vision for your phone","A startup company is bringing back the Smell-O-Vision concept for a smaller screen. Specifically, the one on your phone. Would you want to buy this? http://on.cnn.com/14p3a1L","2013-05-20 13:30:01",128,24,"Yes","link","http://on.cnn.com/14p3a1L","http://www.facebook.com/5550296508/posts/10151658661981509"
"Trust your memory? Maybe you shouldn't","Do you trust your memory? Did that really happen the way you think it did? Not so fast, says a memory expert. What you remember may be far from the truth: http://on.cnn.com/14p26es","2013-05-20 13:00:00",258,80,"Yes","link","http://on.cnn.com/14p26es","http://www.facebook.com/5550296508/posts/10151658654206509"
"[Photo]","20 years ago today, NBC's comedy ""Cheers"" ended its 11-season run. It spawned not only an unforgettable theme song, but another classic comedy with ""Frasier.” Were you a fan? See what the cast of “Cheers” is up to now: http://on.cnn.com/14p0iSw","2013-05-20 12:00:01",2352,225,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151658641771509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151658747996509"
"Obama to new grads: ""No time for excuses""","President Barack Obama received an honorary doctorate and gave the commencement speech at Morehouse College on Sunday. See his message to the class of 2013: http://on.cnn.com/10JmfuV","2013-05-20 11:30:00",665,76,"No","link","http://on.cnn.com/10JmfuV","http://www.facebook.com/5550296508/posts/10151658630451509"
"Teen featured in viral video dies","Zach Sobiech lived his final days with grace, dignity and the support of a few familiar faces singing his song: http://on.cnn.com/10JlulJ","2013-05-20 11:00:01",741,320,"No","link","http://on.cnn.com/10JlulJ","http://www.facebook.com/5550296508/posts/10151658610701509"
"A traveler's guide to eating insects","Care to snack on some fried spiders? Or perhaps some raw caterpillars? Many countries already consider insects a staple part of their diets, and a recent U.N. report argues more of us should eat them. See some of the many insects eaten around the world and tell us if you’ve tried any of them: http://on.cnn.com/14oSyjt","2013-05-20 10:30:43",285,102,"Yes","link","http://on.cnn.com/14oSyjt","http://www.facebook.com/5550296508/posts/10151658570336509"
"[Photo]","“It just mimics so well a natural hand.” Flesh-eating bacteria victim Aimee Copeland is the first woman in the world with bilateral upper limb amputations to be fitted with the all new ""i-limb ultra revolution"" bionic hand. See how the technology works: http://on.cnn.com/14oItTJ","2013-05-20 10:00:39",1462,209,"No","photo","http://www.facebook.com/photo.php?fbid=10151658524141509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151658528921509"
"Yahoo promises to not screw up Tumblr","Yahoo has announced a $1.1 billion deal for the blogging site Tumblr, and says it ""promises not to screw it up."" Do you think these companies make a good match? http://on.cnn.com/10J4gVH","2013-05-20 09:30:00",267,58,"Yes","link","http://on.cnn.com/10J4gVH","http://www.facebook.com/5550296508/posts/10151658435991509"
"[Photo]","""Thanks to everyone in Paris, to all of my teammates, the staff and fans."" With tears streaming down his face, David Beckham said farewell in his final home game as a professional footballer. What are some of your favorite moments from his career? http://on.cnn.com/14ovLV4","2013-05-20 08:55:17",4165,342,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151658415686509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151658416756509"
"Moon blast equal to 5 tons of TNT ","NASA reports a meteoroid slammed into the surface of the moon, igniting into the brightest lunar explosion ever recorded. http://on.cnn.com/14oo6WE","2013-05-20 08:06:12",1859,505,"No","video","http://on.cnn.com/14oo6WE","http://www.facebook.com/5550296508/posts/10151658318486509"
"Obama's surprising poll numbers","Even after what was seen as President Obama's worst political week -- between Benghazi, the IRS, and the AP subpoenas -- his approval rating is holding steady, according to a new national poll: http://on.cnn.com/14nIwiz","2013-05-20 07:30:00",1860,149,"No","link","http://on.cnn.com/14nIwiz","http://www.facebook.com/5550296508/posts/10151658106966509"
"North Korea fires more projectiles ","North Korea has fired six projectiles into the sea over the past three days, South Korean officials said, urging Pyongyang to refrain from ""tension-creating acts.""  http://on.cnn.com/10IoNcR","2013-05-20 06:30:01",347,58,"No","link","http://on.cnn.com/10IoNcR","http://www.facebook.com/5550296508/posts/10151657917736509"
" Student killed by cop's bullet honored ","Sunday's graduation ceremony at Hofstra University was a bittersweet affair marked by a moment of silence for a 21-year-old student killed by a police officer: http://on.cnn.com/10IoxdM","2013-05-20 06:00:01",559,96,"No","link","http://on.cnn.com/10IoxdM","http://www.facebook.com/5550296508/posts/10151657909996509"
"The Dreamliner returns: 5 things to know","No longer grounded for safety concerns, Boeing's 787 Dreamliner has a few things to prove. Today might be a good day to start: http://on.cnn.com/10Il0w3","2013-05-20 05:30:00",229,16,"No","link","http://on.cnn.com/10Il0w3","http://www.facebook.com/5550296508/posts/10151657883611509"
"Tornadoes slash through several states","As many as 28 tornadoes were reported in Oklahoma, Kansas, Illinois, Iowa and Missouri. An estimated 300 homes have been damaged or destroyed: http://on.cnn.com/10IjLgz","2013-05-20 05:00:00",340,59,"No","link","http://on.cnn.com/10IjLgz","http://www.facebook.com/5550296508/posts/10151657873961509"
"Proof of heaven popular, except with the church","Stories of near-death experiences have sold millions of books. But if heaven is so popular, why doesn't the church talk about it anymore? http://on.cnn.com/10cfeQe","2013-05-19 18:00:01",855,224,"Yes","link","http://on.cnn.com/10cfeQe","http://www.facebook.com/5550296508/posts/10151655995601509"
"Anthony Bourdain Parts Unknown: Libya","Libyan hip-hop, Italian restaurants, tribal allegiances and post-war uncertainty in Libya. This week Bourdain looks at the country through personal stories, food--and the music of anti-Qaddafi rapper expats who returned to fight.  Check in with Get Gluehttp://bit.ly/10xCz1K and watch Anthony Bourdain: Parts Unknown tonight at 9 ET only on CNN.","2013-05-19 16:40:00",234,1,"No","link","http://bit.ly/10xCz1K","http://www.facebook.com/5550296508/posts/10151652414891509"
"High school prom, 50 years later","It was a day of celebration that Earnestine Thomas and her classmates were denied 50 years ago. But under a sea of pink and blue hues to the tunes of Aretha Franklin and The Temptations, the class of 1963 finally had their prom. http://on.cnn.com/Z5U4Z2","2013-05-19 15:30:00",1655,132,"No","link","http://on.cnn.com/Z5U4Z2","http://www.facebook.com/5550296508/posts/10151656589586509"
"Hero cop, who sat next to the first lady, charged with rape","Richard DeCoatsworth became a hero in 2007, after an assailant shot him in the face with a shotgun. Now, along with rape, he faces accusations of sex assault, terrorist threats and other related charges. http://on.cnn.com/10ceRp0","2013-05-19 14:00:01",283,27,"No","link","http://on.cnn.com/10ceRp0","http://www.facebook.com/5550296508/posts/10151655991716509"
"Police: Man who fired blanks on Cannes set 'wanted to change world'","Academy Award winner Christoph Waltz and actor Daniel Auteuil were in the middle of an interview when a man fired two shots from a starter pistol. http://on.cnn.com/10ceuL1","2013-05-19 12:00:00",340,68,"No","link","http://on.cnn.com/10ceuL1","http://www.facebook.com/5550296508/posts/10151655986346509"
"Do you remember rock 'n' roll radio?","""You don't remember the newspaper article that you read when you had your first kiss or the TV show. It was a song. You remember that song. There's such a hard-wired connection in our brains to music,"" said Randy Malloy, general manager of WWCD-FM.  But quietly in some markets, loudly in others, music radio has been under siege. http://on.cnn.com/10cdUwZ","2013-05-19 10:00:01",368,35,"No","link","http://on.cnn.com/10cdUwZ","http://www.facebook.com/5550296508/posts/10151655980776509"
"Police gunfire kills Hofstra University student, official says","Andrea Rebello was caught between a masked intruder and the police who were trying to help her. http://on.cnn.com/10cdhmZ","2013-05-19 08:00:02",571,230,"No","link","http://on.cnn.com/10cdhmZ","http://www.facebook.com/5550296508/posts/10151655971216509"
"Bright explosion on moon visible from Earth, NASA says","NASA astronomers have been monitoring the moon for the past eight years, looking for explosions caused by meteoroids hitting the lunar surface. It's part of a program to find new fields of space debris that could hit Earth. http://on.cnn.com/10ccYsc","2013-05-19 06:00:01",561,69,"No","link","http://on.cnn.com/10ccYsc","http://www.facebook.com/5550296508/posts/10151655960016509"
"Like no other place on Earth","Moonlike rocky terrain gives way to sandy plains, immaculate beaches and towering mountains with trees growing out of the sides.    http://on.cnn.com/12jLAtR","2013-05-18 16:00:01",370,25,"No","link","http://on.cnn.com/12jLAtR","http://www.facebook.com/5550296508/posts/10151654443311509"
"At Guantanamo, a costly confinement","The U.S. spends HOW much per detainee at Guantanamo? http://on.cnn.com/12jL6nF","2013-05-18 12:00:00",265,54,"Yes","link","http://on.cnn.com/12jL6nF","http://www.facebook.com/5550296508/posts/10151654433336509"
"Nuclear weapons: Who has what?","39 years ago today, India tested its first nuclear device, becoming the 6th country to have nuclear weapons. See who else has joined since then: http://on.cnn.com/107It6V","2013-05-18 10:30:00",639,227,"No","link","http://on.cnn.com/107It6V","http://www.facebook.com/5550296508/posts/10151653112471509"
"Your fickle memory","You probably feel pretty attached to your memories. It may be time to rethink that notion. http://on.cnn.com/12jKePG","2013-05-18 09:00:01",278,61,"No","link","http://on.cnn.com/12jKePG","http://www.facebook.com/5550296508/posts/10151654428491509"
"A risk that paid off","Four years ago, a small Southern college took a gamble on a handful of refugees from war-torn nations. This summer, they proved their doubters wrong. http://on.cnn.com/12jInur","2013-05-18 07:20:24",661,51,"No","link","http://on.cnn.com/12jInur","http://www.facebook.com/5550296508/posts/10151654407456509"
"Going to school, instead of work","In Nepal, government schools start charging tuition in the sixth grade, causing many children to begin working at a young age instead of attending class. See how Purnima has been able to continue her education and inch closer to her goal of attending college: http://on.cnn.com/107Hsf0  CNN is taking a look at the power of education and the extraordinary girls overcoming barriers to achieve it. For more, visit CNN.com/GirlRising.","2013-05-18 07:00:01",666,46,"No","link","http://on.cnn.com/107Hsf0","http://www.facebook.com/5550296508/posts/10151653049986509"
"5 things to know about SARS-like virus","Half of those infected with nCoV have died, according to the World Health Organization. Here are five things you need to know about nCoV: http://on.cnn.com/107Ga3O","2013-05-17 21:00:00",374,180,"No","link","http://on.cnn.com/107Ga3O","http://www.facebook.com/5550296508/posts/10151653046606509"
"[Photo]","Have you visited Dubai? Photographer Daniel Cheong spent the past six months photographing the record-breaking skyline of Dubai, UAE, at just the right moments: http://on.cnn.com/11KPKA3","2013-05-17 20:00:01",17228,3121,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151653116826509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151653717581509"
"OPINION: What Angelina Jolie forgot to mention","See what H. Gilbert Welch, professor of medicine at the Dartmouth Institute for Health Policy and Clinical Practice, thinks was a big missing element of Angelina Jolie’s piece: http://on.cnn.com/107FL1c","2013-05-17 19:00:01",2162,720,"No","link","http://on.cnn.com/107FL1c","http://www.facebook.com/5550296508/posts/10151653032246509"
"CNN Hero: Teresa Goines","Her Old Skool Cafe serves up second chances for at risk youth. Meet CNN Hero Teresa Goines. Do you know a hero like Teresa? Tell us about them! Nominate CNN Heroes only at CNNHeroes.com. http://on.cnn.com/107FBHe","2013-05-17 18:00:01",173,2,"Yes","link","http://on.cnn.com/107FBHe","http://www.facebook.com/5550296508/posts/10151653220601509"
"OPINION: Don't lower threshold on drunken driving","The National Transportation Safety Board wants to reduce the blood alcohol benchmark, but LZ Granderson says that instead of lowering the threshold, enforce current laws better. What do you think? http://on.cnn.com/107F9sh","2013-05-17 17:00:01",479,29,"Yes","link","http://on.cnn.com/107F9sh","http://www.facebook.com/5550296508/posts/10151653026691509"
"Crisis at Guantanamo","CNN gets an exclusive look at the drastic measures being taken to keep dozens of Guantanamo Bay inmates on hunger strikes alive. What do you think about the crisis? http://on.cnn.com/11KI40J","2013-05-17 16:00:00",235,28,"Yes","link","http://on.cnn.com/11KI40J","http://www.facebook.com/5550296508/posts/10151653022471509"
